,open,high,low,close,volume,symbol
2024-07-19,118.59,118.8793,115.87,116.07,16157707.0,XOM
2024-07-18,117.95,119.92,117.435,118.8,13033563.0,XOM
2024-07-17,116.74,118.175,116.55,117.64,13602766.0,XOM
2024-07-16,114.35,116.35,113.71,116.04,13614050.0,XOM
2024-07-15,114.27,116.16,113.575,115.21,13032503.0,XOM
2024-07-12,113.99,114.15,112.63,113.27,11684946.0,XOM
2024-07-11,111.43,113.315,110.93,113.25,13084875.0,XOM
2024-07-10,110.92,111.96,110.42,111.92,10004094.0,XOM
2024-07-09,111.11,112.54,110.62,110.94,11729085.0,XOM
2024-07-08,112.39,113.55,111.42,112.18,13350549.0,XOM
2024-07-05,114.61,114.63,112.685,113.37,12630986.0,XOM
2024-07-03,114.27,115.66,114.27,114.76,7732928.0,XOM
2024-07-02,115.9,115.94,113.49,114.18,13326703.0,XOM
2024-07-01,115.71,116.74,114.53,114.96,11972881.0,XOM
2024-06-28,115.86,116.54,114.675,115.12,24565910.0,XOM
2024-06-27,114.99,114.99,114.11,114.9,16812731.0,XOM
2024-06-26,114.39,114.815,113.14,114.41,15771751.0,XOM
2024-06-25,114.11,114.55,113.455,114.37,16213682.0,XOM
2024-06-24,111.64,114.525,111.64,114.05,16266688.0,XOM
2024-06-21,111.9,112.695,110.76,110.76,52220574.0,XOM
2024-06-20,109.91,112.62,109.59,111.74,17433192.0,XOM
2024-06-18,109.03,110.72,108.8,109.38,17762915.0,XOM
2024-06-17,109.17,109.46,108.18,108.36,21147943.0,XOM
2024-06-14,110.02,110.207,108.59,109.11,13313430.0,XOM
2024-06-13,110.84,110.86,109.72,110.04,14466868.0,XOM
2024-06-12,113.3,113.3,110.54,110.93,13606788.0,XOM
2024-06-11,112.49,112.6701,111.31,112.17,12462403.0,XOM
2024-06-10,113.06,114.2199,112.7,113.08,15245227.0,XOM
2024-06-07,113.79,114.895,112.6735,112.75,13289196.0,XOM
2024-06-06,112.75,114.04,112.11,113.97,13154094.0,XOM
2024-06-05,112.89,113.19,111.48,113.12,14863516.0,XOM
2024-06-04,113.0,113.09,110.92,112.67,19412238.0,XOM
2024-06-03,116.3,116.36,113.76,114.45,19589338.0,XOM
2024-05-31,114.12,117.49,113.99,117.26,29037378.0,XOM
2024-05-30,113.27,114.13,112.955,113.99,14691976.0,XOM
2024-05-29,114.525,114.545,112.81,113.63,13902001.0,XOM
2024-05-28,113.52,115.11,113.07,114.86,13978305.0,XOM
2024-05-24,114.84,115.08,113.035,113.42,12212949.0,XOM
2024-05-23,115.6,117.51,113.36,113.51,15979835.0,XOM
2024-05-22,117.46,117.46,114.96,115.48,17879252.0,XOM
2024-05-21,118.4,119.45,117.78,117.85,14494980.0,XOM
2024-05-20,119.73,119.89,118.55,118.67,11551250.0,XOM
2024-05-17,118.3,119.83,117.96,119.64,15104469.0,XOM
2024-05-16,118.54,119.3,117.54,117.87,15745202.0,XOM
2024-05-15,117.61,118.84,116.08,118.58,18244303.0,XOM
2024-05-14,116.79,117.74,116.48,117.67,15079131.0,XOM
2024-05-13,118.42,119.04,117.12,117.91,15060619.0,XOM
2024-05-10,118.54,118.66,117.58,117.96,13648130.0,XOM
2024-05-09,116.2,118.53,116.19,118.44,17563975.0,XOM
2024-05-08,115.71,116.9542,115.41,116.15,18957166.0,XOM
2024-05-07,117.28,117.58,115.93,116.17,30121973.0,XOM
2024-05-06,116.67,118.34,116.4,116.75,31401260.0,XOM
2024-05-03,116.0,116.07,114.13,116.0,28023313.0,XOM
2024-05-02,116.26,117.26,115.9,116.24,25513648.0,XOM
2024-05-01,118.28,118.47,115.66,116.03,27789759.0,XOM
2024-04-30,119.11,120.2,117.98,118.27,21083294.0,XOM
2024-04-29,117.76,120.05,117.76,119.64,17343755.0,XOM
2024-04-26,119.0,119.1,116.22,117.96,27289468.0,XOM
2024-04-25,121.03,121.76,119.4,121.33,16041029.0,XOM
2024-04-24,120.3,121.255,119.39,121.05,12101161.0,XOM
2024-04-23,120.0,121.06,119.45,121.03,13929816.0,XOM
2024-04-22,119.26,121.565,118.43,120.56,16340694.0,XOM
2024-04-19,119.155,120.925,118.95,119.88,21572367.0,XOM
2024-04-18,119.0,119.72,117.97,118.52,13821356.0,XOM
2024-04-17,118.55,119.35,117.12,118.63,14538577.0,XOM
2024-04-16,119.555,120.22,117.92,118.69,18082228.0,XOM
2024-04-15,121.09,121.69,119.45,119.68,15029528.0,XOM
2024-04-12,122.95,123.75,119.67,120.37,21556218.0,XOM
2024-04-11,122.69,122.69,120.34,121.79,17555869.0,XOM
2024-04-10,121.22,122.47,120.73,122.2,17409184.0,XOM
2024-04-09,121.0,121.6492,120.34,121.18,14090449.0,XOM
2024-04-08,121.08,121.735,120.205,120.55,17419765.0,XOM
2024-04-05,119.98,122.15,119.64,121.37,21676088.0,XOM
2024-04-04,119.05,119.88,118.64,119.72,18201990.0,XOM
2024-04-03,119.48,119.7479,118.73,119.3,16396047.0,XOM
2024-04-02,117.92,119.6,117.33,119.28,19796655.0,XOM
2024-04-01,116.41,117.24,115.38,116.99,13411510.0,XOM
2024-03-28,115.53,116.45,115.06,116.24,18482055.0,XOM
2024-03-27,113.48,115.06,113.41,114.97,12415674.0,XOM
2024-03-26,114.66,114.98,113.41,113.79,13152287.0,XOM
2024-03-25,113.83,115.775,113.83,114.65,14011734.0,XOM
