date,symbol,EPS,PE,ROE,ROA,ROI
30-06-2024,XOM,2.14,13.97,0.1503,0.0861,0.1914
31-03-2024,XOM,2.06,11.05,0.1562,0.0881,0.1966
31-12-2023,XOM,1.91,11.37,0.1728,0.0972,0.2145
30-09-2023,XOM,2.25,10.48,0.1998,0.1116,0.2497
30-06-2023,XOM,1.94,8.32,0.2557,0.1406,0.3013
31-03-2023,XOM,2.79,7.46,0.3138,0.1671,0.3641
31-12-2022,XOM,3.09,9.43,0.2947,0.1525,0.3386
30-09-2022,XOM,4.68,6.72,0.2843,0.1449,0.3159
30-06-2022,XOM,4.21,8.75,0.2212,0.1114,0.2511
31-03-2022,XOM,1.28,12.66,0.1505,0.0754,0.1683
31-12-2021,XOM,2.08,10.38,0.137,0.0684,0.1469
30-09-2021,XOM,1.57,0,-0.0357,-0.0176,-0.0337
30-06-2021,XOM,1.1,0,-0.0786,-0.0392,-0.0792
31-03-2021,XOM,0.64,0,-0.1091,-0.0551,-0.113
31-12-2020,XOM,-4.7,0,-0.1239,-0.0637,-0.1288
30-09-2020,XOM,-0.15,37.01,0.0175,0.0092,0.0182
30-06-2020,XOM,-0.26,21.95,0.0372,0.0199,0.0409
31-03-2020,XOM,-0.14,11.5,0.0581,0.0316,0.07
31-12-2019,XOM,1.33,16.56,0.0724,0.0399,0.0909
30-09-2019,XOM,0.75,16.16,0.074,0.0412,0.0993
30-06-2019,XOM,0.73,14.36,0.0895,0.05,0.12
31-03-2019,XOM,0.55,14.32,0.0942,0.0528,0.1291
31-03-2024,CVX,2.97,14.37,0.1251,0.0781,0.1531
31-12-2023,CVX,1.22,12.86,0.1319,0.0827,0.1624
30-09-2023,CVX,3.48,12.13,0.1576,0.099,0.1972
30-06-2023,CVX,3.2,9.58,0.1887,0.1177,0.2322
31-03-2023,CVX,3.46,8.38,0.2254,0.1388,0.2782
31-12-2022,CVX,3.33,9.25,0.2282,0.1385,0.2774
30-09-2022,CVX,5.78,7.64,0.2273,0.1358,0.2655
30-06-2022,CVX,5.95,8.95,0.2009,0.1178,0.2296
31-03-2022,CVX,3.22,14.07,0.1471,0.0844,0.1643
31-12-2021,CVX,2.63,13.11,0.115,0.0648,0.1251
30-09-2021,CVX,3.19,17.61,0.0739,0.0411,0.0787
30-06-2021,CVX,1.6,49.68,0.027,0.0151,0.0325
31-03-2021,CVX,0.72,0,-0.0584,-0.0335,-0.0554
31-12-2020,CVX,-0.33,0,-0.0408,-0.024,-0.0442
30-09-2020,CVX,-0.12,0,-0.0826,-0.0499,-0.0892
30-06-2020,CVX,-4.44,0,-0.0599,-0.0365,-0.0632
31-03-2020,CVX,1.93,29.24,0.0256,0.0157,0.0326
31-12-2019,CVX,-3.48,65.27,0.019,0.0116,0.0309
30-09-2019,CVX,1.36,13.78,0.0847,0.0519,0.1031
30-06-2019,CVX,2.27,12.92,0.0944,0.0576,0.1117
31-03-2019,CVX,1.39,13.52,0.0893,0.054,0.106
31-03-2024,NEE,1.1,17.41,0.1323,0.043,0.0786
31-12-2023,NEE,0.58,16.67,0.1331,0.0428,0.089
30-09-2023,NEE,0.6,14.89,0.145,0.0459,0.0866
30-06-2023,NEE,1.38,17.93,0.1614,0.0499,0.0896
31-03-2023,NEE,1.04,22.25,0.1394,0.0423,0.0753
31-12-2022,NEE,0.77,38.54,0.0903,0.0271,0.041
30-09-2022,NEE,0.86,38.75,0.0847,0.0258,0.0347
30-06-2022,NEE,0.7,56.42,0.0578,0.0179,0.02
31-03-2022,NEE,-0.23,108.63,0.0325,0.0104,0.0156
31-12-2021,NEE,0.61,48.68,0.079,0.0261,0.0312
30-09-2021,NEE,0.23,61.48,0.0524,0.0177,0.0275
30-06-2021,NEE,0.13,42.97,0.0707,0.0241,0.0351
31-03-2021,NEE,0.84,33.3,0.0956,0.0328,0.0438
31-12-2020,NEE,0,48.01,0.0689,0.0235,0.0606
30-09-2020,NEE,0.62,32.21,0.0941,0.0321,0.0613
30-06-2020,NEE,0.65,30.37,0.0866,0.0299,0.0702
31-03-2020,NEE,0.21,30.39,0.0873,0.0303,0.0801
31-12-2019,NEE,0.5,28.26,0.0955,0.0334,0.0725
30-09-2019,NEE,0.45,31.55,0.0836,0.0294,0.0796
30-06-2019,NEE,0.64,26.4,0.0885,0.0317,0.0738
31-03-2019,NEE,0.35,28.53,0.0776,0.0284,0.0668
30-06-2024,BP,-0.05,14.21,0.0867,0.0266,0.1382
31-03-2024,BP,0.8,11.67,0.1081,0.0334,0.1527
31-12-2023,BP,0.19,6.79,0.1762,0.0547,0.2048
30-09-2023,BP,1.66,4.41,0.299,0.0914,0.3265
30-06-2023,BP,0.6,5.5,0.2267,0.0662,0.2932
31-03-2023,BP,2.7,4.29,0.3213,0.0909,0.3775
31-12-2022,BP,3.34,0,-0.0315,-0.0085,0.143
30-09-2022,BP,-0.69,0,-0.1354,-0.0376,0.039
30-06-2022,BP,2.83,0,-0.1336,-0.0388,0.0193
31-03-2022,BP,-6.27,0,-0.199,-0.0606,-0.0418
31-12-2021,BP,0.71,10.67,0.0832,0.0268,0.1205
30-09-2021,BP,-0.76,12.51,0.0736,0.0238,0.1004
30-06-2021,BP,0.92,9,0.0989,0.0321,0.1063
31-03-2021,BP,1.37,0,-0.1322,-0.0425,-0.0726
31-12-2020,BP,0.4,0,-0.2382,-0.0763,-0.148
30-09-2020,BP,-0.13,0,-0.2431,-0.0792,-0.1505
30-06-2020,BP,-5,0,-0.2347,-0.0785,-0.1475
31-03-2020,BP,-1.3,0,-0.0332,-0.0114,0.0147
31-12-2019,BP,-0.01,24.77,0.0395,0.0138,0.0736
30-09-2019,BP,-0.22,20.75,0.0467,0.0165,0.0863
30-06-2019,BP,0.54,12.05,0.0861,0.0308,0.1195
31-03-2019,BP,0.87,11.35,0.0961,0.0347,0.1315
31-03-2024,SHEL,2.26,12.37,0.0946,0.044,0.1299
31-12-2023,SHEL,0.18,11.63,0.1007,0.0465,0.1406
30-09-2023,SHEL,2.1,7.63,0.1516,0.0689,0.1946
30-06-2023,SHEL,0.92,7.38,0.1505,0.0673,0.1938
31-03-2023,SHEL,2.5,4.77,0.2273,0.0999,0.2681
31-12-2022,SHEL,2.92,4.99,0.2237,0.0965,0.2562
30-09-2022,SHEL,1.84,4.34,0.2346,0.1012,0.258
30-06-2022,SHEL,4.8,5.45,0.2021,0.0858,0.2221
31-03-2022,SHEL,1.86,9.67,0.1245,0.0527,0.1398
31-12-2021,SHEL,2.94,8.19,0.1182,0.0504,0.131
30-09-2021,SHEL,-0.12,37.01,0.0279,0.0118,0.0512
30-06-2021,SHEL,0.88,27.48,0.0339,0.0144,0.0488
31-03-2021,SHEL,1.44,0,-0.099,-0.0421,-0.0617
31-12-2020,SHEL,-1.02,0,-0.1309,-0.0568,-0.0904
30-09-2020,SHEL,0.12,0,-0.0962,-0.043,-0.0609
30-06-2020,SHEL,-4.66,0,-0.0623,-0.0288,-0.0291
31-03-2020,SHEL,0,13.42,0.0515,0.0245,0.0794
31-12-2019,SHEL,0.24,14.13,0.0813,0.0391,0.1107
30-09-2019,SHEL,1.46,10.98,0.1034,0.0507,0.1293
30-06-2019,SHEL,0.74,12.28,0.1021,0.0502,0.1337
31-03-2019,SHEL,1.46,10.2,0.1165,0.0577,0.1499
30-06-2024,JPM,6.12,11.22,0.1579,0.013,0.096
31-03-2024,JPM,4.44,11.96,0.1499,0.0123,0.0896
